"LISEM run with:,/home/jovyan/work/LISEM/runfiles/Gorsch.run"
"results at time (day:min):"1.00:1435
class,Depth,Area,Volume,Duration,Start,Structures,Roads
#,m,m2,m3,h,h,m2,m2
103,5.15,0.00,0.00,0.00,0.00,0.00,0.00
104,5.20,900.00,4698.48,20.33,3.67,0.00,0.00
105,5.25,0.00,0.00,0.00,0.00,0.00,0.00
106,5.30,0.00,0.00,0.00,0.00,0.00,0.00
107,5.35,0.00,0.00,0.00,0.00,0.00,0.00
108,5.40,0.00,0.00,0.00,0.00,0.00,0.00
109,5.45,0.00,0.00,0.00,0.00,0.00,0.00
110,5.50,0.00,0.00,0.00,0.00,0.00,0.00
111,5.55,0.00,0.00,0.00,0.00,0.00,0.00
112,5.60,0.00,0.00,0.00,0.00,0.00,0.00
113,5.65,0.00,0.00,0.00,0.00,0.00,0.00
114,5.70,0.00,0.00,0.00,0.00,0.00,0.00
115,5.75,0.00,0.00,0.00,0.00,0.00,0.00
116,5.80,0.00,0.00,0.00,0.00,0.00,0.00
117,5.85,0.00,0.00,0.00,0.00,0.00,0.00
118,5.90,0.00,0.00,0.00,0.00,0.00,0.00
119,5.95,0.00,0.00,0.00,0.00,0.00,0.00
120,6.00,0.00,0.00,0.00,0.00,0.00,0.00
121,6.05,0.00,0.00,0.00,0.00,0.00,0.00
122,6.10,0.00,0.00,0.00,0.00,0.00,0.00
123,6.15,0.00,0.00,0.00,0.00,0.00,0.00
124,6.20,0.00,0.00,0.00,0.00,0.00,0.00
125,6.25,900.00,5660.38,22.25,1.75,0.00,0.00
