LISEM total flow and sed output file for point 3
Time,Pavg,Qall,Qbound,Qrunoff,Qsall,Qsbound,Qsrunoff,Conc
days,mm/h,l/s,l/s,l/s,kg/s,kg/s,kg/s,g/l
0.0000000,155.200,6011.110,56443.590,732.966,54.260,54.260,0.021,0.028
0.0069444,155.200,7298.312,181450.867,2126.860,246.809,246.809,0.603,0.284
0.0138889,111.300,9685.390,336039.265,3640.309,407.226,407.226,2.125,0.584
0.0208333,110.200,10460.689,576295.557,5092.559,567.024,567.024,4.426,0.869
0.0277778,0.000,12812.420,680442.203,5838.639,591.892,591.892,7.098,1.216
0.0347222,0.000,13641.032,702834.705,6152.263,592.880,592.880,10.011,1.627
0.0416667,0.000,13995.064,712651.059,5956.724,575.691,575.691,12.688,2.130
0.0486111,0.000,13598.562,704903.217,5531.070,547.486,547.486,15.130,2.735
0.0555556,0.000,12568.078,694462.900,4940.449,505.197,505.197,17.100,3.461
0.0625000,0.000,11120.986,612052.815,4293.217,475.935,475.935,18.526,4.315
0.0694444,0.000,9554.229,531807.350,3618.699,426.315,426.315,19.062,5.268
0.0763889,0.000,7753.370,453743.953,3002.144,395.215,395.215,18.753,6.246
0.0833333,0.000,5610.303,377730.936,2493.997,350.827,350.827,17.904,7.179
0.0902778,0.000,4047.447,308784.579,2065.175,318.180,318.180,15.486,7.499
0.0972222,0.000,3537.481,257833.822,1663.947,279.550,279.550,6.170,3.708
0.1041667,0.000,3300.100,222914.427,1304.141,250.563,250.563,2.669,2.046
0.1111111,0.000,2893.344,209318.287,1081.113,227.436,227.436,1.463,1.353
0.1180556,0.000,2924.972,176889.410,908.914,208.076,208.076,1.082,1.190
