LISEM total flow and sed output file for point 2
Time,Pavg,Qall,Qbound,Qrunoff,Qsall,Qsbound,Qsrunoff,Conc
days,mm/h,l/s,l/s,l/s,kg/s,kg/s,kg/s,g/l
0.0000000,155.200,6011.110,56443.590,58.849,54.260,54.260,0.000,0.000
0.0069444,155.200,7298.312,181450.867,1862.661,246.809,246.809,458.760,246.293
0.0138889,111.300,9685.390,336039.265,2415.101,407.226,407.226,1613.676,668.161
0.0208333,110.200,10460.689,576295.557,280.273,567.024,567.024,237.671,848.000
0.0277778,0.000,12812.420,680442.203,208.277,591.892,591.892,108.994,523.311
0.0347222,0.000,13641.032,702834.705,193.190,592.880,592.880,163.825,848.000
0.0416667,0.000,13995.064,712651.059,229.323,575.691,575.691,145.957,636.469
0.0486111,0.000,13598.562,704903.217,225.985,547.486,547.486,170.510,754.518
0.0555556,0.000,12568.078,694462.900,209.106,505.197,505.197,125.635,600.821
0.0625000,0.000,11120.986,612052.815,213.054,475.935,475.935,108.011,506.964
0.0694444,0.000,9554.229,531807.350,224.332,426.315,426.315,190.233,848.000
0.0763889,0.000,7753.370,453743.953,228.535,395.215,395.215,59.587,260.734
0.0833333,0.000,5610.303,377730.936,230.426,350.827,350.827,190.732,827.736
0.0902778,0.000,4047.447,308784.579,234.901,318.180,318.180,30.577,130.170
0.0972222,0.000,3537.481,257833.822,221.419,279.550,279.550,169.619,766.054
0.1041667,0.000,3300.100,222914.427,169.479,250.563,250.563,12.560,74.109
0.1111111,0.000,2893.344,209318.287,148.500,227.436,227.436,107.441,723.510
0.1180556,0.000,2924.972,176889.410,139.712,208.076,208.076,4.133,29.584
