LISEM total flow and sed output file for point 86
Time,Pavg,Qall,Qrunoff,Qsall,Qsrunoff,Conc
days,mm/h,l/s,l/s,kg/s,kg/s,g/l
0.0000000,15.200,3.411,0.283,0.115,0.000,0.000
0.0027778,15.200,14.893,0.833,1.271,0.259,151.414
0.0055556,15.200,37.998,1.571,3.336,0.001,0.356
0.0083333,11.300,70.538,2.214,3.452,0.486,118.259
0.0111111,11.300,127.229,3.065,12.030,0.011,1.872
0.0138889,11.300,229.580,4.104,10.921,0.669,96.982
0.0166667,10.200,400.530,5.080,32.714,0.026,2.939
0.0194444,10.200,671.845,5.970,34.385,0.846,87.872
0.0222222,0.000,966.902,5.414,68.394,1.109,120.285
0.0250000,0.000,1296.639,4.835,116.398,0.000,0.000
0.0277778,0.000,1614.718,4.253,115.746,0.658,93.413
0.0305556,0.000,1887.691,3.709,247.142,0.000,0.000
0.0333333,0.000,2101.249,3.225,208.815,0.551,100.309
0.0361111,0.000,2252.206,2.808,270.744,0.000,0.000
0.0388889,0.000,2345.141,2.454,334.169,0.458,106.812
0.0416667,0.000,2391.748,2.156,319.373,0.000,0.000
0.0444444,0.000,2405.598,1.905,378.998,0.383,112.475
0.0472222,0.000,2396.131,1.693,335.787,0.000,0.000
0.0500000,0.000,2367.283,1.513,414.809,0.324,117.730
0.0527778,0.000,2320.194,1.359,329.669,0.000,0.000
0.0555556,0.000,2256.331,1.227,384.398,0.278,122.522
0.0583333,0.000,2178.709,1.114,297.170,0.000,0.000
0.0611111,0.000,2091.400,1.015,382.833,0.242,126.957
0.0638889,0.000,1998.536,0.929,139.599,0.000,0.000
0.0666667,0.000,1903.597,0.853,373.225,0.212,131.106
0.0694444,0.000,1809.153,0.787,89.943,0.000,0.000
0.0722222,0.000,1716.904,0.727,445.709,0.188,135.018
0.0750000,0.000,1627.878,0.675,75.433,0.000,0.000
0.0777778,0.000,1542.632,0.628,395.804,0.169,138.727
0.0805556,0.000,1461.430,0.585,64.376,0.000,0.000
0.0833333,0.000,1384.369,0.547,361.203,0.000,0.000
0.0861111,0.000,1311.452,0.513,56.110,0.000,0.000
0.0888889,0.000,1242.630,0.481,324.044,0.000,0.000
0.0916667,0.000,1177.818,0.453,49.047,0.000,0.000
0.0944444,0.000,1116.905,0.427,279.100,0.000,0.000
0.0972222,0.000,1059.752,0.403,43.525,0.000,0.000
0.1000000,0.000,1006.200,0.381,244.698,0.000,0.000
0.1027778,0.000,956.071,0.361,38.822,0.000,0.000
0.1055556,0.000,909.178,0.342,216.144,0.000,0.000
0.1083333,0.000,865.323,0.325,34.339,0.000,0.000
0.1111111,0.000,824.311,0.309,187.345,0.000,0.000
0.1138889,0.000,785.947,0.295,37.786,0.000,0.000
0.1166667,0.000,750.044,0.281,162.025,0.000,0.000
0.1194444,0.000,716.423,0.268,33.767,0.000,0.000
0.1222222,0.000,684.916,0.256,122.650,0.000,0.000
0.1250000,0.000,655.364,0.245,33.418,0.000,0.000
0.1277778,0.000,627.622,0.235,78.976,0.000,0.000
0.1305556,0.000,601.555,0.225,78.906,0.000,0.000
0.1333333,0.000,577.036,0.216,71.917,0.000,0.000
0.1361111,0.000,553.953,0.207,70.127,0.000,0.000
0.1388889,0.000,532.199,0.199,66.305,0.000,0.000
0.1416667,0.000,511.678,0.191,60.802,0.000,0.000
0.1444444,0.000,492.303,0.184,61.684,0.000,0.000
0.1472222,0.000,473.991,0.177,50.845,0.000,0.000
0.1500000,0.000,456.669,0.171,57.432,0.000,0.000
0.1527778,0.000,440.268,0.165,44.526,0.000,0.000
0.1555556,0.000,424.726,0.159,53.808,0.000,0.000
0.1583333,0.000,409.986,0.154,38.978,0.000,0.000
0.1611111,0.000,395.995,0.148,50.528,0.000,0.000
0.1638889,0.000,382.703,0.143,33.025,0.000,0.000
0.1666667,0.000,370.067,0.139,47.462,0.000,0.000
0.1694444,0.000,358.044,0.134,29.491,0.000,0.000
0.1722222,0.000,346.596,0.130,43.687,0.000,0.000
0.1750000,0.000,335.687,0.126,27.290,0.000,0.000
0.1777778,0.000,325.286,0.122,38.230,0.000,0.000
0.1805556,0.000,315.361,0.118,27.862,0.000,0.000
0.1833333,0.000,305.885,0.115,36.224,0.000,0.000
0.1861111,0.000,296.830,0.111,25.389,0.000,0.000
0.1888889,0.000,288.173,0.108,33.994,0.000,0.000
0.1916667,0.000,279.890,0.105,20.798,0.000,0.000
0.1944444,0.000,271.962,0.102,31.926,0.000,0.000
0.1972222,0.000,264.368,0.099,17.748,0.000,0.000
0.2000000,0.000,257.089,0.096,30.060,0.000,0.000
0.2027778,0.000,250.109,0.094,16.046,0.000,0.000
0.2055556,0.000,243.411,0.091,28.393,0.000,0.000
