LISEM total flow and sed output file for point 127
Time,Pavg,Qall,Qrunoff,Qsall,Qsrunoff,Conc
days,mm/h,l/s,l/s,kg/s,kg/s,g/l
0.0000000,15.200,3.411,0.156,0.115,0.000,0.000
0.0027778,15.200,14.893,0.487,1.271,0.000,0.000
0.0055556,15.200,37.998,0.899,3.336,0.403,159.492
0.0083333,11.300,70.538,1.157,3.452,0.000,0.000
0.0111111,11.300,127.229,1.382,12.030,0.589,152.538
0.0138889,11.300,229.580,1.568,10.921,0.000,0.000
0.0166667,10.200,400.530,1.665,32.714,0.691,148.023
0.0194444,10.200,671.845,1.739,34.385,0.000,0.000
0.0222222,0.000,966.902,1.334,68.394,0.564,145.657
0.0250000,0.000,1296.639,1.053,116.398,0.000,0.000
0.0277778,0.000,1614.718,0.851,115.746,0.309,123.366
0.0305556,0.000,1887.691,0.700,247.142,0.000,0.000
0.0333333,0.000,2101.249,0.586,208.815,0.228,128.416
0.0361111,0.000,2252.206,0.497,270.744,0.000,0.000
0.0388889,0.000,2345.141,0.426,334.169,0.000,0.000
0.0416667,0.000,2391.748,0.369,319.373,0.000,0.000
0.0444444,0.000,2405.598,0.323,378.998,0.000,0.000
0.0472222,0.000,2396.131,0.285,335.787,0.000,0.000
0.0500000,0.000,2367.283,0.252,414.809,0.000,0.000
0.0527778,0.000,2320.194,0.225,329.669,0.000,0.000
0.0555556,0.000,2256.331,0.202,384.398,0.000,0.000
0.0583333,0.000,2178.709,0.182,297.170,0.000,0.000
0.0611111,0.000,2091.400,0.165,382.833,0.000,0.000
0.0638889,0.000,1998.536,0.150,139.599,0.000,0.000
0.0666667,0.000,1903.597,0.137,373.225,0.000,0.000
0.0694444,0.000,1809.153,0.126,89.943,0.000,0.000
0.0722222,0.000,1716.904,0.116,445.709,0.000,0.000
0.0750000,0.000,1627.878,0.107,75.433,0.000,0.000
0.0777778,0.000,1542.632,0.099,395.804,0.000,0.000
0.0805556,0.000,1461.430,0.091,64.376,0.000,0.000
0.0833333,0.000,1384.369,0.085,361.203,0.000,0.000
0.0861111,0.000,1311.452,0.079,56.110,0.000,0.000
0.0888889,0.000,1242.630,0.074,324.044,0.000,0.000
0.0916667,0.000,1177.818,0.069,49.047,0.000,0.000
0.0944444,0.000,1116.905,0.065,279.100,0.000,0.000
0.0972222,0.000,1059.752,0.061,43.525,0.000,0.000
0.1000000,0.000,1006.200,0.057,244.698,0.000,0.000
0.1027778,0.000,956.071,0.054,38.822,0.000,0.000
0.1055556,0.000,909.178,0.051,216.144,0.000,0.000
0.1083333,0.000,865.323,0.048,34.339,0.000,0.000
0.1111111,0.000,824.311,0.045,187.345,0.000,0.000
0.1138889,0.000,785.947,0.043,37.786,0.000,0.000
0.1166667,0.000,750.044,0.041,162.025,0.000,0.000
0.1194444,0.000,716.423,0.039,33.767,0.000,0.000
0.1222222,0.000,684.916,0.037,122.650,0.000,0.000
0.1250000,0.000,655.364,0.035,33.418,0.000,0.000
0.1277778,0.000,627.622,0.033,78.976,0.000,0.000
0.1305556,0.000,601.555,0.032,78.906,0.000,0.000
0.1333333,0.000,577.036,0.030,71.917,0.000,0.000
0.1361111,0.000,553.953,0.029,70.127,0.000,0.000
0.1388889,0.000,532.199,0.028,66.305,0.000,0.000
