LISEM total flow and sed output file for point 3
Time,Pavg,Qall,Qrunoff,Qsall,Qsrunoff,Conc
days,mm/h,l/s,l/s,kg/s,kg/s,g/l
0.0000000,15.200,3.411,0.050,0.115,0.000,0.000
0.0027778,15.200,14.893,0.226,1.271,0.000,0.000
0.0055556,15.200,37.998,0.541,3.336,0.000,0.000
0.0083333,11.300,70.538,0.841,3.452,0.000,0.000
0.0111111,11.300,127.229,1.160,12.030,0.000,0.000
0.0138889,11.300,229.580,1.467,10.921,0.000,0.000
0.0166667,10.200,400.530,1.694,32.714,0.000,0.000
0.0194444,10.200,671.845,1.880,34.385,0.000,0.000
0.0222222,0.000,966.902,1.579,68.394,0.000,0.000
0.0250000,0.000,1296.639,1.330,116.398,0.000,0.000
0.0277778,0.000,1614.718,1.130,115.746,0.000,0.000
0.0305556,0.000,1887.691,0.968,247.142,0.000,0.000
0.0333333,0.000,2101.249,0.838,208.815,0.000,0.000
0.0361111,0.000,2252.206,0.731,270.744,0.000,0.000
0.0388889,0.000,2345.141,0.644,334.169,0.000,0.000
0.0416667,0.000,2391.748,0.571,319.373,0.000,0.000
0.0444444,0.000,2405.598,0.510,378.998,0.000,0.000
0.0472222,0.000,2396.131,0.458,335.787,0.000,0.000
0.0500000,0.000,2367.283,0.414,414.809,0.000,0.000
0.0527778,0.000,2320.194,0.376,329.669,0.000,0.000
0.0555556,0.000,2256.331,0.343,384.398,0.000,0.000
0.0583333,0.000,2178.709,0.314,297.170,0.000,0.000
0.0611111,0.000,2091.400,0.289,382.833,0.000,0.000
0.0638889,0.000,1998.536,0.266,139.599,0.000,0.000
0.0666667,0.000,1903.597,0.247,373.225,0.000,0.000
0.0694444,0.000,1809.153,0.229,89.943,0.000,0.000
0.0722222,0.000,1716.904,0.213,445.709,0.000,0.000
0.0750000,0.000,1627.878,0.199,75.433,0.000,0.000
0.0777778,0.000,1542.632,0.186,395.804,0.000,0.000
0.0805556,0.000,1461.430,0.174,64.376,0.000,0.000
0.0833333,0.000,1384.369,0.164,361.203,0.000,0.000
0.0861111,0.000,1311.452,0.154,56.110,0.000,0.000
0.0888889,0.000,1242.630,0.146,324.044,0.000,0.000
0.0916667,0.000,1177.818,0.137,49.047,0.000,0.000
0.0944444,0.000,1116.905,0.130,279.100,0.000,0.000
0.0972222,0.000,1059.752,0.123,43.525,0.000,0.000
0.1000000,0.000,1006.200,0.117,244.698,0.000,0.000
0.1027778,0.000,956.071,0.111,38.822,0.000,0.000
0.1055556,0.000,909.178,0.106,216.144,0.000,0.000
0.1083333,0.000,865.323,0.101,34.339,0.000,0.000
0.1111111,0.000,824.311,0.096,187.345,0.000,0.000
0.1138889,0.000,785.947,0.092,37.786,0.000,0.000
0.1166667,0.000,750.044,0.088,162.025,0.000,0.000
0.1194444,0.000,716.423,0.084,33.767,0.000,0.000
0.1222222,0.000,684.916,0.080,122.650,0.000,0.000
0.1250000,0.000,655.364,0.077,33.418,0.000,0.000
0.1277778,0.000,627.622,0.074,78.976,0.000,0.000
0.1305556,0.000,601.555,0.071,78.906,0.000,0.000
0.1333333,0.000,577.036,0.068,71.917,0.000,0.000
0.1361111,0.000,553.953,0.065,70.127,0.000,0.000
0.1388889,0.000,532.199,0.063,66.305,0.000,0.000
0.1416667,0.000,511.678,0.061,60.802,0.000,0.000
0.1444444,0.000,492.303,0.058,61.684,0.000,0.000
0.1472222,0.000,473.991,0.056,50.845,0.000,0.000
0.1500000,0.000,456.669,0.054,57.432,0.000,0.000
0.1527778,0.000,440.268,0.052,44.526,0.000,0.000
0.1555556,0.000,424.726,0.051,53.808,0.000,0.000
0.1583333,0.000,409.986,0.049,38.978,0.000,0.000
0.1611111,0.000,395.995,0.047,50.528,0.000,0.000
0.1638889,0.000,382.703,0.046,33.025,0.000,0.000
0.1666667,0.000,370.067,0.044,47.462,0.000,0.000
0.1694444,0.000,358.044,0.043,29.491,0.000,0.000
0.1722222,0.000,346.596,0.042,43.687,0.000,0.000
0.1750000,0.000,335.687,0.040,27.290,0.000,0.000
0.1777778,0.000,325.286,0.039,38.230,0.000,0.000
0.1805556,0.000,315.361,0.038,27.862,0.000,0.000
0.1833333,0.000,305.885,0.037,36.224,0.000,0.000
0.1861111,0.000,296.830,0.036,25.389,0.000,0.000
0.1888889,0.000,288.173,0.035,33.994,0.000,0.000
0.1916667,0.000,279.890,0.034,20.798,0.000,0.000
0.1944444,0.000,271.962,0.033,31.926,0.000,0.000
0.1972222,0.000,264.368,0.032,17.748,0.000,0.000
0.2000000,0.000,257.089,0.031,30.060,0.000,0.000
0.2027778,0.000,250.109,0.030,16.046,0.000,0.000
0.2055556,0.000,243.411,0.029,28.393,0.000,0.000
0.2083333,0.000,236.981,0.029,14.451,0.000,0.000
0.2111111,0.000,230.804,0.028,26.966,0.000,0.000
0.2138889,0.000,224.868,0.027,12.386,0.000,0.000
0.2166667,0.000,219.160,0.027,25.774,0.000,0.000
0.2194444,0.000,213.668,0.026,7.160,0.000,0.000
0.2222222,0.000,208.383,0.025,28.585,0.000,0.000
0.2250000,0.000,203.293,0.025,6.837,0.000,0.000
0.2277778,0.000,198.389,0.024,26.904,0.000,0.000
0.2305556,0.000,193.662,0.023,5.845,0.000,0.000
0.2333333,0.000,189.104,0.023,25.365,0.000,0.000
0.2361111,0.000,184.706,0.022,5.562,0.000,0.000
0.2388889,0.000,180.462,0.022,23.936,0.000,0.000
0.2416667,0.000,176.364,0.021,5.285,0.000,0.000
0.2444444,0.000,172.405,0.021,22.604,0.000,0.000
0.2472222,0.000,168.580,0.020,5.023,0.000,0.000
0.2500000,0.000,164.882,0.020,20.804,0.000,0.000
0.2527778,0.000,161.306,0.020,4.777,0.000,0.000
0.2555556,0.000,157.846,0.019,19.660,0.000,0.000
0.2583333,0.000,154.497,0.019,4.424,0.000,0.000
0.2611111,0.000,151.255,0.018,18.581,0.000,0.000
0.2638889,0.000,148.115,0.018,4.208,0.000,0.000
0.2666667,0.000,145.073,0.018,17.626,0.000,0.000
0.2694444,0.000,142.125,0.017,4.003,0.000,0.000
