LISEM total flow and sed output file for point 75
Time,Pavg,Qall,Qrunoff,Qsall,Qsrunoff,Conc
days,mm/h,l/s,l/s,kg/s,kg/s,g/l
0.0000000,15.200,3.411,0.576,0.115,0.078,145.342
0.0027778,15.200,14.893,2.356,1.271,0.373,136.706
0.0055556,15.200,37.998,4.896,3.336,0.602,85.204
0.0083333,11.300,70.538,6.986,3.452,0.983,82.349
0.0111111,11.300,127.229,9.403,12.030,0.942,56.483
0.0138889,11.300,229.580,12.379,10.921,2.757,128.152
0.0166667,10.200,400.530,15.505,32.714,1.342,51.006
0.0194444,10.200,671.845,18.812,34.385,7.136,228.858
0.0222222,0.000,966.902,18.092,68.394,0.952,30.721
0.0250000,0.000,1296.639,17.096,116.398,6.348,213.027
0.0277778,0.000,1614.718,15.943,115.746,1.151,40.762
0.0305556,0.000,1887.691,14.729,247.142,2.420,91.224
0.0333333,0.000,2101.249,13.524,208.815,3.044,122.785
0.0361111,0.000,2252.206,12.370,270.744,0.014,0.621
0.0388889,0.000,2345.141,11.287,334.169,4.974,231.869
0.0416667,0.000,2391.748,10.286,319.373,0.009,0.443
0.0444444,0.000,2405.598,9.371,378.998,4.195,227.014
0.0472222,0.000,2396.131,8.541,335.787,0.006,0.336
0.0500000,0.000,2367.283,7.793,414.809,3.412,214.107
0.0527778,0.000,2320.194,7.122,329.669,0.000,0.000
0.0555556,0.000,2256.331,6.521,384.398,2.876,208.338
0.0583333,0.000,2178.709,5.985,297.170,0.000,0.000
0.0611111,0.000,2091.400,5.505,382.833,2.338,194.211
0.0638889,0.000,1998.536,5.077,139.599,0.000,0.000
0.0666667,0.000,1903.597,4.694,373.225,2.012,190.153
0.0694444,0.000,1809.153,4.350,89.943,0.000,0.000
0.0722222,0.000,1716.904,4.041,445.709,1.744,186.079
0.0750000,0.000,1627.878,3.763,75.433,0.000,0.000
0.0777778,0.000,1542.632,3.512,395.804,1.353,161.800
0.0805556,0.000,1461.430,3.285,64.376,0.000,0.000
0.0833333,0.000,1384.369,3.079,361.203,1.100,146.457
0.0861111,0.000,1311.452,2.891,56.110,0.101,14.166
0.0888889,0.000,1242.630,2.720,324.044,0.094,13.915
0.0916667,0.000,1177.818,2.564,49.047,0.088,13.669
0.0944444,0.000,1116.905,2.421,279.100,0.083,13.429
0.0972222,0.000,1059.752,2.289,43.525,0.078,13.193
0.1000000,0.000,1006.200,2.168,244.698,0.073,12.962
0.1027778,0.000,956.071,2.056,38.822,0.069,12.737
0.1055556,0.000,909.178,1.953,216.144,0.000,0.000
0.1083333,0.000,865.323,1.857,34.339,0.674,135.774
0.1111111,0.000,824.311,1.769,187.345,0.000,0.000
0.1138889,0.000,785.947,1.686,37.786,0.614,133.846
0.1166667,0.000,750.044,1.609,162.025,0.000,0.000
0.1194444,0.000,716.423,1.538,33.767,0.561,131.956
0.1222222,0.000,684.916,1.471,122.650,0.000,0.000
0.1250000,0.000,655.364,1.408,33.418,0.514,130.106
0.1277778,0.000,627.622,1.350,78.976,0.000,0.000
0.1305556,0.000,601.555,1.295,78.906,0.473,128.297
0.1333333,0.000,577.036,1.243,71.917,0.000,0.000
0.1361111,0.000,553.953,1.194,70.127,0.436,126.530
0.1388889,0.000,532.199,1.148,66.305,0.000,0.000
0.1416667,0.000,511.678,1.105,60.802,0.403,124.803
0.1444444,0.000,492.303,1.064,61.684,0.000,0.000
0.1472222,0.000,473.991,1.026,50.845,0.204,67.298
0.1500000,0.000,456.669,0.989,57.432,0.000,0.000
0.1527778,0.000,440.268,0.955,44.526,0.190,66.470
0.1555556,0.000,424.726,0.922,53.808,0.000,0.000
0.1583333,0.000,409.986,0.891,38.978,0.177,65.664
0.1611111,0.000,395.995,0.861,50.528,0.000,0.000
0.1638889,0.000,382.703,0.833,33.025,0.166,64.879
0.1666667,0.000,370.067,0.807,47.462,0.000,0.000
0.1694444,0.000,358.044,0.781,29.491,0.155,64.116
0.1722222,0.000,346.596,0.757,43.687,0.000,0.000
0.1750000,0.000,335.687,0.734,27.290,0.146,63.373
0.1777778,0.000,325.286,0.712,38.230,0.000,0.000
0.1805556,0.000,315.361,0.691,27.862,0.044,20.301
0.1833333,0.000,305.885,0.671,36.224,0.000,0.000
0.1861111,0.000,296.830,0.651,25.389,0.041,19.766
0.1888889,0.000,288.173,0.633,33.994,0.000,0.000
0.1916667,0.000,279.890,0.615,20.798,0.038,19.250
0.1944444,0.000,271.962,0.598,31.926,0.000,0.000
0.1972222,0.000,264.368,0.582,17.748,0.035,18.753
0.2000000,0.000,257.089,0.566,30.060,0.000,0.000
0.2027778,0.000,250.109,0.551,16.046,0.033,18.273
0.2055556,0.000,243.411,0.537,28.393,0.000,0.000
0.2083333,0.000,236.981,0.523,14.451,0.031,17.810
0.2111111,0.000,230.804,0.510,26.966,0.000,0.000
0.2138889,0.000,224.868,0.497,12.386,0.029,17.363
0.2166667,0.000,219.160,0.485,25.774,0.000,0.000
0.2194444,0.000,213.668,0.473,7.160,0.027,16.931
0.2222222,0.000,208.383,0.461,28.585,0.000,0.000
0.2250000,0.000,203.293,0.450,6.837,0.025,16.514
0.2277778,0.000,198.389,0.440,26.904,0.000,0.000
0.2305556,0.000,193.662,0.430,5.845,0.024,16.111
0.2333333,0.000,189.104,0.420,25.365,0.000,0.000
0.2361111,0.000,184.706,0.410,5.562,0.022,15.721
0.2388889,0.000,180.462,0.401,23.936,0.000,0.000
0.2416667,0.000,176.364,0.392,5.285,0.021,15.344
0.2444444,0.000,172.405,0.383,22.604,0.000,0.000
0.2472222,0.000,168.580,0.375,5.023,0.019,14.979
0.2500000,0.000,164.882,0.367,20.804,0.000,0.000
0.2527778,0.000,161.306,0.359,4.777,0.018,14.627
0.2555556,0.000,157.846,0.351,19.660,0.000,0.000
0.2583333,0.000,154.497,0.344,4.424,0.017,14.285
0.2611111,0.000,151.255,0.337,18.581,0.000,0.000
0.2638889,0.000,148.115,0.330,4.208,0.016,13.955
0.2666667,0.000,145.073,0.323,17.626,0.000,0.000
0.2694444,0.000,142.125,0.317,4.003,0.015,13.634
0.2722222,0.000,139.267,0.311,16.793,0.000,0.000
0.2750000,0.000,136.495,0.305,3.793,0.015,13.324
0.2777778,0.000,133.806,0.299,16.031,0.000,0.000
0.2805556,0.000,131.196,0.293,3.666,0.014,13.023
0.2833333,0.000,128.663,0.287,15.376,0.000,0.000
0.2861111,0.000,126.203,0.282,3.546,0.013,12.732
0.2888889,0.000,123.814,0.277,14.754,0.000,0.000
0.2916667,0.000,121.493,0.272,3.431,0.012,12.449
0.2944444,0.000,119.237,0.267,14.166,0.000,0.000
0.2972222,0.000,117.045,0.262,3.322,0.012,12.175
0.3000000,0.000,114.912,0.257,13.611,0.000,0.000
0.3027778,0.000,112.838,0.252,3.218,0.011,11.908
0.3055556,0.000,110.820,0.248,13.061,0.000,0.000
0.3083333,0.000,108.857,0.244,3.119,0.010,11.650
0.3111111,0.000,106.946,0.239,12.506,0.000,0.000
0.3138889,0.000,105.085,0.235,3.024,0.010,11.400
0.3166667,0.000,103.273,0.231,11.514,0.000,0.000
0.3194444,0.000,101.507,0.227,2.933,0.009,11.156
0.3222222,0.000,99.787,0.223,11.017,0.000,0.000
0.3250000,0.000,98.111,0.220,2.847,0.009,10.920
0.3277778,0.000,96.477,0.216,10.563,0.000,0.000
0.3305556,0.000,94.884,0.212,2.485,0.009,10.690
0.3333333,0.000,93.331,0.209,9.483,0.000,0.000
0.3361111,0.000,91.815,0.206,2.319,0.008,10.467
0.3388889,0.000,90.337,0.202,8.627,0.000,0.000
0.3416667,0.000,88.894,0.199,2.252,0.008,10.250
0.3444444,0.000,87.486,0.196,8.063,0.000,0.000
0.3472222,0.000,86.111,0.193,2.189,0.007,10.039
0.3500000,0.000,84.769,0.190,6.558,0.000,0.000
0.3527778,0.000,83.459,0.187,2.128,0.007,9.834
0.3555556,0.000,82.178,0.184,6.270,0.000,0.000
