LISEM total flow and sed output file for point 100
Time,Pavg,Qall,Qrunoff,Qsall,Qsrunoff,Conc
days,mm/h,l/s,l/s,kg/s,kg/s,g/l
0.0000000,15.200,3.411,0.671,0.115,0.458,345.669
0.0027778,15.200,14.893,2.100,1.271,0.161,43.165
0.0055556,15.200,37.998,3.942,3.336,2.926,387.086
0.0083333,11.300,70.538,5.351,3.452,0.161,15.683
0.0111111,11.300,127.229,6.814,12.030,4.604,355.615
0.0138889,11.300,229.580,8.185,10.921,0.177,11.380
0.0166667,10.200,400.530,9.109,32.714,5.869,343.853
0.0194444,10.200,671.845,9.807,34.385,0.173,9.333
0.0222222,0.000,966.902,8.090,68.394,4.925,315.210
0.0250000,0.000,1296.639,6.637,116.398,0.100,7.505
0.0277778,0.000,1614.718,5.465,115.746,3.445,310.000
0.0305556,0.000,1887.691,4.536,247.142,0.032,3.353
0.0333333,0.000,2101.249,3.802,208.815,2.472,308.391
0.0361111,0.000,2252.206,3.219,270.744,0.012,1.660
0.0388889,0.000,2345.141,2.752,334.169,1.835,307.956
0.0416667,0.000,2391.748,2.375,319.373,0.006,1.041
0.0444444,0.000,2405.598,2.067,378.998,1.407,308.351
0.0472222,0.000,2396.131,1.812,335.787,0.000,0.000
0.0500000,0.000,2367.283,1.600,414.809,1.110,309.552
0.0527778,0.000,2320.194,1.422,329.669,0.000,0.000
0.0555556,0.000,2256.331,1.272,384.398,0.896,310.918
0.0583333,0.000,2178.709,1.143,297.170,0.000,0.000
0.0611111,0.000,2091.400,1.032,382.833,0.738,312.322
0.0638889,0.000,1998.536,0.936,139.599,0.000,0.000
0.0666667,0.000,1903.597,0.853,373.225,0.617,313.782
0.0694444,0.000,1809.153,0.779,89.943,0.000,0.000
0.0722222,0.000,1716.904,0.715,445.709,0.523,315.216
0.0750000,0.000,1627.878,0.658,75.433,0.000,0.000
0.0777778,0.000,1542.632,0.607,395.804,0.449,316.606
0.0805556,0.000,1461.430,0.562,64.376,0.000,0.000
