LISEM total flow and sed output file for point 68
Time,Pavg,Qall,Qrunoff,Qsall,Qsrunoff,Conc
days,mm/h,l/s,l/s,kg/s,kg/s,g/l
0.0000000,15.200,3.411,0.267,0.115,0.000,0.000
0.0027778,15.200,14.893,0.890,1.271,0.000,0.000
0.0055556,15.200,37.998,1.888,3.336,0.000,0.000
0.0083333,11.300,70.538,3.243,3.452,0.000,0.000
0.0111111,11.300,127.229,5.644,12.030,0.000,0.000
0.0138889,11.300,229.580,9.146,10.921,0.000,0.000
0.0166667,10.200,400.530,13.245,32.714,0.030,1.650
0.0194444,10.200,671.845,17.878,34.385,0.000,0.000
0.0222222,0.000,966.902,20.161,68.394,1.757,64.537
0.0250000,0.000,1296.639,21.707,116.398,0.000,0.000
0.0277778,0.000,1614.718,22.558,115.746,2.029,66.624
0.0305556,0.000,1887.691,22.913,247.142,0.000,0.000
0.0333333,0.000,2101.249,22.952,208.815,2.117,68.099
0.0361111,0.000,2252.206,22.805,270.744,0.000,0.000
0.0388889,0.000,2345.141,22.549,334.169,2.118,69.104
0.0416667,0.000,2391.748,22.210,319.373,0.000,0.000
0.0444444,0.000,2405.598,21.781,378.998,2.078,69.825
0.0472222,0.000,2396.131,21.240,335.787,0.000,0.000
0.0500000,0.000,2367.283,20.576,414.809,2.006,70.777
0.0527778,0.000,2320.194,19.795,329.669,0.000,0.000
0.0555556,0.000,2256.331,18.919,384.398,1.897,71.909
0.0583333,0.000,2178.709,17.979,297.170,0.000,0.000
0.0611111,0.000,2091.400,17.008,382.833,1.759,73.079
0.0638889,0.000,1998.536,16.036,139.599,0.000,0.000
0.0666667,0.000,1903.597,15.084,373.225,1.611,74.246
0.0694444,0.000,1809.153,14.170,89.943,0.000,0.000
0.0722222,0.000,1716.904,13.303,445.709,1.466,75.322
0.0750000,0.000,1627.878,12.490,75.433,0.000,0.000
0.0777778,0.000,1542.632,11.731,395.804,0.052,2.981
0.0805556,0.000,1461.430,11.027,64.376,0.000,0.000
0.0833333,0.000,1384.369,10.376,361.203,0.042,2.695
0.0861111,0.000,1311.452,9.774,56.110,0.000,0.000
0.0888889,0.000,1242.630,9.219,324.044,0.035,2.438
0.0916667,0.000,1177.818,8.707,49.047,0.000,0.000
0.0944444,0.000,1116.905,8.233,279.100,0.028,2.208
0.0972222,0.000,1059.752,7.796,43.525,0.000,0.000
0.1000000,0.000,1006.200,7.392,244.698,0.023,2.002
0.1027778,0.000,956.071,7.017,38.822,0.000,0.000
0.1055556,0.000,909.178,6.670,216.144,0.019,1.819
0.1083333,0.000,865.323,6.348,34.339,0.000,0.000
0.1111111,0.000,824.311,6.048,187.345,0.016,1.656
0.1138889,0.000,785.947,5.769,37.786,0.000,0.000
0.1166667,0.000,750.044,5.509,162.025,0.014,1.511
0.1194444,0.000,716.423,5.266,33.767,0.000,0.000
0.1222222,0.000,684.916,5.039,122.650,0.000,0.000
0.1250000,0.000,655.364,4.827,33.418,0.000,0.000
0.1277778,0.000,627.622,4.627,78.976,0.000,0.000
0.1305556,0.000,601.555,4.440,78.906,0.000,0.000
0.1333333,0.000,577.036,4.264,71.917,0.000,0.000
0.1361111,0.000,553.953,4.099,70.127,0.000,0.000
0.1388889,0.000,532.199,3.943,66.305,0.000,0.000
0.1416667,0.000,511.678,3.796,60.802,0.000,0.000
0.1444444,0.000,492.303,3.657,61.684,0.000,0.000
0.1472222,0.000,473.991,3.526,50.845,0.000,0.000
0.1500000,0.000,456.669,3.402,57.432,0.000,0.000
0.1527778,0.000,440.268,3.284,44.526,0.000,0.000
0.1555556,0.000,424.726,3.172,53.808,0.000,0.000
0.1583333,0.000,409.986,3.066,38.978,0.000,0.000
0.1611111,0.000,395.995,2.966,50.528,0.000,0.000
0.1638889,0.000,382.703,2.870,33.025,0.000,0.000
0.1666667,0.000,370.067,2.779,47.462,0.000,0.000
0.1694444,0.000,358.044,2.692,29.491,0.000,0.000
0.1722222,0.000,346.596,2.610,43.687,0.000,0.000
0.1750000,0.000,335.687,2.531,27.290,0.000,0.000
0.1777778,0.000,325.286,2.456,38.230,0.000,0.000
0.1805556,0.000,315.361,2.384,27.862,0.000,0.000
0.1833333,0.000,305.885,2.315,36.224,0.000,0.000
0.1861111,0.000,296.830,2.249,25.389,0.000,0.000
0.1888889,0.000,288.173,2.187,33.994,0.000,0.000
0.1916667,0.000,279.890,2.126,20.798,0.000,0.000
0.1944444,0.000,271.962,2.068,31.926,0.000,0.000
0.1972222,0.000,264.368,2.013,17.748,0.000,0.000
0.2000000,0.000,257.089,1.960,30.060,0.000,0.000
0.2027778,0.000,250.109,1.909,16.046,0.000,0.000
0.2055556,0.000,243.411,1.860,28.393,0.000,0.000
0.2083333,0.000,236.981,1.813,14.451,0.000,0.000
0.2111111,0.000,230.804,1.767,26.966,0.000,0.000
0.2138889,0.000,224.868,1.724,12.386,0.000,0.000
0.2166667,0.000,219.160,1.682,25.774,0.000,0.000
0.2194444,0.000,213.668,1.641,7.160,0.000,0.000
