LISEM total flow and sed output file for point 77
Time,Pavg,Qall,Qrunoff,Qsall,Qsrunoff,Conc
days,mm/h,l/s,l/s,kg/s,kg/s,g/l
0.0000000,15.200,3.411,0.201,0.115,0.005,16.788
0.0027778,15.200,14.893,1.298,1.271,0.075,42.711
0.0055556,15.200,37.998,3.596,3.336,0.204,38.655
0.0083333,11.300,70.538,6.193,3.452,0.436,42.731
0.0111111,11.300,127.229,9.241,12.030,0.484,30.117
0.0138889,11.300,229.580,12.709,10.921,1.545,69.581
0.0166667,10.200,400.530,16.211,32.714,0.941,33.619
0.0194444,10.200,671.845,19.821,34.385,4.405,131.209
0.0222222,0.000,966.902,19.579,68.394,0.592,17.442
0.0250000,0.000,1296.639,18.653,116.398,3.930,119.254
0.0277778,0.000,1614.718,17.446,115.746,0.706,22.522
0.0305556,0.000,1887.691,16.143,247.142,1.466,49.714
0.0333333,0.000,2101.249,14.843,208.815,1.818,65.924
0.0361111,0.000,2252.206,13.594,270.744,0.008,0.328
0.0388889,0.000,2345.141,12.423,334.169,2.879,120.447
0.0416667,0.000,2391.748,11.340,319.373,0.005,0.226
0.0444444,0.000,2405.598,10.349,378.998,2.345,113.727
0.0472222,0.000,2396.131,9.448,335.787,0.003,0.165
0.0500000,0.000,2367.283,8.635,414.809,1.839,103.261
0.0527778,0.000,2320.194,7.904,329.669,0.000,0.000
0.0555556,0.000,2256.331,7.247,384.398,1.494,96.681
0.0583333,0.000,2178.709,6.660,297.170,0.000,0.000
0.0611111,0.000,2091.400,6.134,382.833,1.170,86.747
0.0638889,0.000,1998.536,5.662,139.599,0.000,0.000
0.0666667,0.000,1903.597,5.240,373.225,0.971,81.814
0.0694444,0.000,1809.153,4.860,89.943,0.000,0.000
0.0722222,0.000,1716.904,4.519,445.709,0.811,77.197
0.0750000,0.000,1627.878,4.210,75.433,0.000,0.000
0.0777778,0.000,1542.632,3.932,395.804,0.608,64.792
0.0805556,0.000,1461.430,3.680,64.376,0.000,0.000
0.0833333,0.000,1384.369,3.450,361.203,0.477,56.672
0.0861111,0.000,1311.452,3.242,56.110,0.043,5.391
0.0888889,0.000,1242.630,3.051,324.044,0.040,5.209
0.0916667,0.000,1177.818,2.877,49.047,0.036,5.034
0.0944444,0.000,1116.905,2.717,279.100,0.034,4.867
0.0972222,0.000,1059.752,2.570,43.525,0.031,4.707
0.1000000,0.000,1006.200,2.435,244.698,0.029,4.554
0.1027778,0.000,956.071,2.310,38.822,0.027,4.406
0.1055556,0.000,909.178,2.195,216.144,0.000,0.000
