LISEM total flow and sed output file for point 53
Time,Pavg,Qall,Qrunoff,Qsall,Qsrunoff,Conc
days,mm/h,l/s,l/s,kg/s,kg/s,g/l
0.0000000,15.200,3.411,0.541,0.115,0.000,0.000
0.0027778,15.200,14.893,1.935,1.271,0.592,166.974
0.0055556,15.200,37.998,4.112,3.336,0.000,0.000
0.0083333,11.300,70.538,6.228,3.452,1.631,160.960
0.0111111,11.300,127.229,9.023,12.030,0.305,21.706
0.0138889,11.300,229.580,12.903,10.921,1.803,91.180
0.0166667,10.200,400.530,17.581,32.714,1.310,51.987
0.0194444,10.200,671.845,22.962,34.385,2.355,70.338
0.0222222,0.000,966.902,24.713,68.394,8.862,255.861
0.0250000,0.000,1296.639,26.016,116.398,0.411,11.441
0.0277778,0.000,1614.718,26.999,115.746,6.242,166.276
0.0305556,0.000,1887.691,27.736,247.142,1.151,30.142
0.0333333,0.000,2101.249,28.206,208.815,1.972,50.227
0.0361111,0.000,2252.206,28.324,270.744,11.560,296.173
0.0388889,0.000,2345.141,28.036,334.169,0.000,0.000
0.0416667,0.000,2391.748,27.351,319.373,11.335,299.459
0.0444444,0.000,2405.598,26.341,378.998,0.000,0.000
0.0472222,0.000,2396.131,25.103,335.787,10.490,298.867
0.0500000,0.000,2367.283,23.732,414.809,0.000,0.000
0.0527778,0.000,2320.194,22.308,329.669,9.318,294.633
0.0555556,0.000,2256.331,20.889,384.398,0.000,0.000
0.0583333,0.000,2178.709,19.514,297.170,8.139,289.674
0.0611111,0.000,2091.400,18.206,382.833,0.000,0.000
0.0638889,0.000,1998.536,16.979,139.599,7.071,284.658
0.0666667,0.000,1903.597,15.838,373.225,0.000,0.000
0.0694444,0.000,1809.153,14.782,89.943,4.745,216.439
0.0722222,0.000,1716.904,13.810,445.709,0.000,0.000
0.0750000,0.000,1627.878,12.916,75.433,3.370,173.730
0.0777778,0.000,1542.632,12.095,395.804,0.000,0.000
0.0805556,0.000,1461.430,11.342,64.376,3.011,174.182
0.0833333,0.000,1384.369,10.652,361.203,0.000,0.000
0.0861111,0.000,1311.452,10.018,56.110,2.701,174.560
0.0888889,0.000,1242.630,9.435,324.044,0.000,0.000
0.0916667,0.000,1177.818,8.899,49.047,2.095,150.793
0.0944444,0.000,1116.905,8.406,279.100,0.000,0.000
0.0972222,0.000,1059.752,7.951,43.525,1.914,152.341
0.1000000,0.000,1006.200,7.530,244.698,0.000,0.000
0.1027778,0.000,956.071,7.142,38.822,1.755,153.694
0.1055556,0.000,909.178,6.782,216.144,0.000,0.000
0.1083333,0.000,865.323,6.448,34.339,1.616,155.103
0.1111111,0.000,824.311,6.138,187.345,0.000,0.000
0.1138889,0.000,785.947,5.850,37.786,1.494,156.428
0.1166667,0.000,750.044,5.581,162.025,0.000,0.000
0.1194444,0.000,716.423,5.330,33.767,1.385,157.677
0.1222222,0.000,684.916,5.096,122.650,0.000,0.000
0.1250000,0.000,655.364,4.877,33.418,1.289,158.857
0.1277778,0.000,627.622,4.672,78.976,0.000,0.000
0.1305556,0.000,601.555,4.479,78.906,1.202,159.977
0.1333333,0.000,577.036,4.299,71.917,0.000,0.000
0.1361111,0.000,553.953,4.129,70.127,1.124,161.043
0.1388889,0.000,532.199,3.968,66.305,0.000,0.000
0.1416667,0.000,511.678,3.818,60.802,1.054,162.060
0.1444444,0.000,492.303,3.675,61.684,0.000,0.000
0.1472222,0.000,473.991,3.541,50.845,0.814,134.379
0.1500000,0.000,456.669,3.414,57.432,0.000,0.000
0.1527778,0.000,440.268,3.293,44.526,0.770,135.713
0.1555556,0.000,424.726,3.179,53.808,0.000,0.000
0.1583333,0.000,409.986,3.071,38.978,0.730,137.006
0.1611111,0.000,395.995,2.969,50.528,0.000,0.000
0.1638889,0.000,382.703,2.871,33.025,0.693,138.262
0.1666667,0.000,370.067,2.778,47.462,0.000,0.000
0.1694444,0.000,358.044,2.690,29.491,0.659,139.484
0.1722222,0.000,346.596,2.606,43.687,0.000,0.000
0.1750000,0.000,335.687,2.526,27.290,0.423,95.710
0.1777778,0.000,325.286,2.449,38.230,0.000,0.000
0.1805556,0.000,315.361,2.376,27.862,0.406,96.992
0.1833333,0.000,305.885,2.307,36.224,0.000,0.000
0.1861111,0.000,296.830,2.240,25.389,0.390,98.253
0.1888889,0.000,288.173,2.176,33.994,0.000,0.000
0.1916667,0.000,279.890,2.115,20.798,0.374,99.492
0.1944444,0.000,271.962,2.057,31.926,0.000,0.000
0.1972222,0.000,264.368,2.001,17.748,0.360,100.710
0.2000000,0.000,257.089,1.947,30.060,0.000,0.000
0.2027778,0.000,250.109,1.895,16.046,0.347,101.909
0.2055556,0.000,243.411,1.846,28.393,0.000,0.000
0.2083333,0.000,236.981,1.798,14.451,0.335,103.088
0.2111111,0.000,230.804,1.752,26.966,0.000,0.000
0.2138889,0.000,224.868,1.708,12.386,0.323,104.250
0.2166667,0.000,219.160,1.666,25.774,0.000,0.000
0.2194444,0.000,213.668,1.625,7.160,0.312,105.394
0.2222222,0.000,208.383,1.586,28.585,0.000,0.000
0.2250000,0.000,203.293,1.548,6.837,0.301,106.521
0.2277778,0.000,198.389,1.511,26.904,0.000,0.000
0.2305556,0.000,193.662,1.476,5.845,0.291,107.632
0.2333333,0.000,189.104,1.442,25.365,0.000,0.000
0.2361111,0.000,184.706,1.409,5.562,0.282,108.728
0.2388889,0.000,180.462,1.378,23.936,0.000,0.000
0.2416667,0.000,176.364,1.347,5.285,0.273,109.808
0.2444444,0.000,172.405,1.317,22.604,0.000,0.000
0.2472222,0.000,168.580,1.289,5.023,0.265,110.874
0.2500000,0.000,164.882,1.261,20.804,0.000,0.000
0.2527778,0.000,161.306,1.234,4.777,0.257,111.926
0.2555556,0.000,157.846,1.208,19.660,0.000,0.000
0.2583333,0.000,154.497,1.183,4.424,0.249,112.964
0.2611111,0.000,151.255,1.159,18.581,0.000,0.000
0.2638889,0.000,148.115,1.135,4.208,0.242,113.989
0.2666667,0.000,145.073,1.112,17.626,0.000,0.000
0.2694444,0.000,142.125,1.090,4.003,0.235,115.001
0.2722222,0.000,139.267,1.068,16.793,0.000,0.000
0.2750000,0.000,136.495,1.048,3.793,0.229,116.001
0.2777778,0.000,133.806,1.027,16.031,0.000,0.000
0.2805556,0.000,131.196,1.008,3.666,0.223,116.989
0.2833333,0.000,128.663,0.988,15.376,0.000,0.000
0.2861111,0.000,126.203,0.970,3.546,0.217,117.965
0.2888889,0.000,123.814,0.952,14.754,0.000,0.000
0.2916667,0.000,121.493,0.934,3.431,0.211,118.929
0.2944444,0.000,119.237,0.917,14.166,0.000,0.000
0.2972222,0.000,117.045,0.901,3.322,0.206,119.883
0.3000000,0.000,114.912,0.884,13.611,0.000,0.000
0.3027778,0.000,112.838,0.869,3.218,0.200,120.825
0.3055556,0.000,110.820,0.853,13.061,0.000,0.000
0.3083333,0.000,108.857,0.838,3.119,0.195,121.757
0.3111111,0.000,106.946,0.824,12.506,0.000,0.000
0.3138889,0.000,105.085,0.810,3.024,0.191,122.679
0.3166667,0.000,103.273,0.796,11.514,0.000,0.000
0.3194444,0.000,101.507,0.783,2.933,0.186,123.592
0.3222222,0.000,99.787,0.769,11.017,0.000,0.000
0.3250000,0.000,98.111,0.757,2.847,0.181,124.494
0.3277778,0.000,96.477,0.744,10.563,0.000,0.000
0.3305556,0.000,94.884,0.732,2.485,0.177,125.387
0.3333333,0.000,93.331,0.720,9.483,0.000,0.000
0.3361111,0.000,91.815,0.709,2.319,0.173,126.271
0.3388889,0.000,90.337,0.697,8.627,0.000,0.000
0.3416667,0.000,88.894,0.686,2.252,0.169,127.146
0.3444444,0.000,87.486,0.676,8.063,0.000,0.000
0.3472222,0.000,86.111,0.665,2.189,0.165,128.012
0.3500000,0.000,84.769,0.655,6.558,0.000,0.000
0.3527778,0.000,83.459,0.645,2.128,0.162,128.870
0.3555556,0.000,82.178,0.635,6.270,0.000,0.000
0.3583333,0.000,80.927,0.625,1.851,0.158,129.719
0.3611111,0.000,79.705,0.616,5.992,0.000,0.000
0.3638889,0.000,78.511,0.607,1.801,0.155,130.559
0.3666667,0.000,77.343,0.598,5.765,0.000,0.000
0.3694444,0.000,76.201,0.589,1.754,0.151,131.392
0.3722222,0.000,75.085,0.581,5.547,0.000,0.000
0.3750000,0.000,73.993,0.572,1.708,0.148,132.217
0.3777778,0.000,72.926,0.564,5.330,0.000,0.000
0.3805556,0.000,71.881,0.556,1.665,0.145,133.034
0.3833333,0.000,70.858,0.548,5.124,0.000,0.000
0.3861111,0.000,69.858,0.541,1.622,0.000,0.000
0.3888889,0.000,68.879,0.533,4.927,0.000,0.000
0.3916667,0.000,67.920,0.526,1.581,0.000,0.000
0.3944444,0.000,66.981,0.518,4.738,0.000,0.000
0.3972222,0.000,66.062,0.511,1.542,0.000,0.000
0.4000000,0.000,65.162,0.504,4.558,0.000,0.000
0.4027778,0.000,64.280,0.498,1.504,0.000,0.000
0.4055556,0.000,63.416,0.491,4.386,0.000,0.000
0.4083333,0.000,62.569,0.484,1.217,0.000,0.000
0.4111111,0.000,61.739,0.478,4.220,0.000,0.000
0.4138889,0.000,60.926,0.472,1.188,0.000,0.000
0.4166667,0.000,60.129,0.466,4.062,0.000,0.000
0.4194444,0.000,59.348,0.460,0.673,0.000,0.000
0.4222222,0.000,58.581,0.454,3.912,0.000,0.000
0.4250000,0.000,57.830,0.448,0.656,0.000,0.000
0.4277778,0.000,57.093,0.442,3.772,0.000,0.000
0.4305556,0.000,56.370,0.437,0.639,0.000,0.000
0.4333333,0.000,55.661,0.431,3.642,0.000,0.000
0.4361111,0.000,54.965,0.426,0.623,0.000,0.000
0.4388889,0.000,54.283,0.421,3.517,0.000,0.000
0.4416667,0.000,53.612,0.415,0.608,0.000,0.000
0.4444444,0.000,52.955,0.410,3.397,0.000,0.000
0.4472222,0.000,52.309,0.405,0.593,0.000,0.000
0.4500000,0.000,51.675,0.400,3.280,0.000,0.000
0.4527778,0.000,51.053,0.396,0.578,0.000,0.000
0.4555556,0.000,50.442,0.391,3.172,0.000,0.000
0.4583333,0.000,49.842,0.386,0.564,0.000,0.000
0.4611111,0.000,49.253,0.382,3.072,0.000,0.000
0.4638889,0.000,48.674,0.377,0.550,0.000,0.000
0.4666667,0.000,48.105,0.373,2.976,0.000,0.000
0.4694444,0.000,47.546,0.368,0.537,0.000,0.000
0.4722222,0.000,46.997,0.364,2.883,0.000,0.000
0.4750000,0.000,46.457,0.360,0.525,0.000,0.000
0.4777778,0.000,45.927,0.356,2.792,0.000,0.000
0.4805556,0.000,45.406,0.352,0.512,0.000,0.000
0.4833333,0.000,44.893,0.348,2.709,0.000,0.000
0.4861111,0.000,44.390,0.344,0.493,0.000,0.000
0.4888889,0.000,43.894,0.340,2.626,0.000,0.000
0.4916667,0.000,43.407,0.336,0.482,0.000,0.000
0.4944444,0.000,42.928,0.333,2.547,0.000,0.000
0.4972222,0.000,42.457,0.329,0.471,0.000,0.000
