LISEM total flow and sed output file for point 135
Time,Pavg,Qall,Qrunoff,Qsall,Qsrunoff,Conc
days,mm/h,l/s,l/s,kg/s,kg/s,g/l
0.0000000,15.200,3.411,0.060,0.115,0.000,0.000
0.0027778,15.200,14.893,0.308,1.271,0.000,0.000
0.0055556,15.200,37.998,0.898,3.336,0.000,0.000
0.0083333,11.300,70.538,2.103,3.452,0.000,0.000
0.0111111,11.300,127.229,6.623,12.030,0.000,0.000
0.0138889,11.300,229.580,23.399,10.921,0.000,0.000
0.0166667,10.200,400.530,62.583,32.714,0.310,5.622
0.0194444,10.200,671.845,124.078,34.385,0.207,1.788
0.0222222,0.000,966.902,190.450,68.394,4.463,24.037
0.0250000,0.000,1296.639,251.548,116.398,0.736,2.931
0.0277778,0.000,1614.718,301.502,115.746,12.630,41.496
0.0305556,0.000,1887.691,338.648,247.142,0.474,1.378
0.0333333,0.000,2101.249,363.318,208.815,38.058,102.730
0.0361111,0.000,2252.206,376.723,270.744,0.155,0.404
0.0388889,0.000,2345.141,380.611,334.169,46.591,119.523
0.0416667,0.000,2391.748,377.073,319.373,0.176,0.456
0.0444444,0.000,2405.598,368.244,378.998,43.710,115.573
0.0472222,0.000,2396.131,355.990,335.787,0.170,0.464
0.0500000,0.000,2367.283,341.752,414.809,37.830,107.537
0.0527778,0.000,2320.194,326.545,329.669,0.143,0.426
0.0555556,0.000,2256.331,311.033,384.398,30.902,96.317
0.0583333,0.000,2178.709,295.630,297.170,0.128,0.419
0.0611111,0.000,2091.400,280.581,382.833,22.984,79.245
0.0638889,0.000,1998.536,266.022,139.599,0.111,0.405
0.0666667,0.000,1903.597,252.020,373.225,15.411,59.025
0.0694444,0.000,1809.153,238.606,89.943,0.093,0.376
0.0722222,0.000,1716.904,225.790,445.709,8.844,37.715
0.0750000,0.000,1627.878,213.573,75.433,0.075,0.337
0.0777778,0.000,1542.632,201.951,395.804,2.696,12.824
0.0805556,0.000,1461.430,190.921,64.376,0.059,0.294
0.0833333,0.000,1384.369,180.475,361.203,1.208,6.409
0.0861111,0.000,1311.452,170.607,56.110,0.045,0.251
0.0888889,0.000,1242.630,161.304,324.044,0.836,4.950
0.0916667,0.000,1177.818,152.554,49.047,0.034,0.212
0.0944444,0.000,1116.905,144.338,279.100,0.340,2.245
0.0972222,0.000,1059.752,136.636,43.525,0.025,0.177
0.1000000,0.000,1006.200,129.425,244.698,0.273,2.006
0.1027778,0.000,956.071,122.680,38.822,0.019,0.146
0.1055556,0.000,909.178,116.375,216.144,0.221,1.795
0.1083333,0.000,865.323,110.484,34.339,0.014,0.121
0.1111111,0.000,824.311,104.980,187.345,0.090,0.813
0.1138889,0.000,785.947,99.838,37.786,0.011,0.100
0.1166667,0.000,750.044,95.033,162.025,0.000,0.000
0.1194444,0.000,716.423,90.540,33.767,0.008,0.082
0.1222222,0.000,684.916,86.337,122.650,0.000,0.000
0.1250000,0.000,655.364,82.403,33.418,0.006,0.068
0.1277778,0.000,627.622,78.718,78.976,0.000,0.000
0.1305556,0.000,601.555,75.264,78.906,0.004,0.056
0.1333333,0.000,577.036,72.022,71.917,0.000,0.000
0.1361111,0.000,553.953,68.979,70.127,0.003,0.046
0.1388889,0.000,532.199,66.118,66.305,0.000,0.000
0.1416667,0.000,511.678,63.426,60.802,0.003,0.038
0.1444444,0.000,492.303,60.891,61.684,0.000,0.000
0.1472222,0.000,473.991,58.502,50.845,0.002,0.031
0.1500000,0.000,456.669,56.248,57.432,0.000,0.000
0.1527778,0.000,440.268,54.120,44.526,0.001,0.024
0.1555556,0.000,424.726,52.108,53.808,0.000,0.000
0.1583333,0.000,409.986,50.205,38.978,0.001,0.017
