LISEM total flow and sed output file for point 28
Time,Pavg,Qall,Qrunoff,Qsall,Qsrunoff,Conc
days,mm/h,l/s,l/s,kg/s,kg/s,g/l
0.0000000,15.200,3.411,0.150,0.115,0.000,0.000
0.0027778,15.200,14.893,0.683,1.271,0.000,0.000
0.0055556,15.200,37.998,1.702,3.336,0.000,0.000
0.0083333,11.300,70.538,2.852,3.452,0.092,16.596
0.0111111,11.300,127.229,4.344,12.030,0.000,0.000
0.0138889,11.300,229.580,6.182,10.921,0.204,16.848
0.0166667,10.200,400.530,8.144,32.714,0.000,0.000
0.0194444,10.200,671.845,10.357,34.385,0.489,25.179
0.0222222,0.000,966.902,10.473,68.394,0.000,0.000
0.0250000,0.000,1296.639,10.494,116.398,0.235,11.606
0.0277778,0.000,1614.718,10.505,115.746,0.000,0.000
0.0305556,0.000,1887.691,10.545,247.142,0.135,6.627
0.0333333,0.000,2101.249,10.613,208.815,0.000,0.000
0.0361111,0.000,2252.206,10.679,270.744,0.070,3.406
0.0388889,0.000,2345.141,10.705,334.169,0.000,0.000
0.0416667,0.000,2391.748,10.659,319.373,0.070,3.405
0.0444444,0.000,2405.598,10.522,378.998,0.000,0.000
0.0472222,0.000,2396.131,10.295,335.787,0.067,3.307
0.0500000,0.000,2367.283,9.989,414.809,0.000,0.000
0.0527778,0.000,2320.194,9.623,329.669,0.060,3.159
0.0555556,0.000,2256.331,9.219,384.398,0.000,0.000
0.0583333,0.000,2178.709,8.793,297.170,0.053,2.987
0.0611111,0.000,2091.400,8.362,382.833,0.000,0.000
0.0638889,0.000,1998.536,7.935,139.599,0.046,2.809
0.0666667,0.000,1903.597,7.522,373.225,0.000,0.000
0.0694444,0.000,1809.153,7.125,89.943,0.040,2.631
0.0722222,0.000,1716.904,6.748,445.709,0.000,0.000
0.0750000,0.000,1627.878,6.393,75.433,0.034,2.459
0.0777778,0.000,1542.632,6.060,395.804,0.000,0.000
0.0805556,0.000,1461.430,5.747,64.376,0.029,2.294
0.0833333,0.000,1384.369,5.455,361.203,0.000,0.000
0.0861111,0.000,1311.452,5.182,56.110,0.025,2.139
0.0888889,0.000,1242.630,4.928,324.044,0.000,0.000
0.0916667,0.000,1177.818,4.690,49.047,0.000,0.000
0.0944444,0.000,1116.905,4.468,279.100,0.000,0.000
0.0972222,0.000,1059.752,4.261,43.525,0.000,0.000
