LISEM total flow and sed output file for point 45
Time,Pavg,Qall,Qrunoff,Qsall,Qsrunoff,Conc
days,mm/h,l/s,l/s,kg/s,kg/s,g/l
0.0000000,15.200,3.411,0.217,0.115,0.000,0.000
0.0027778,15.200,14.893,1.258,1.271,0.034,32.081
0.0055556,15.200,37.998,3.606,3.336,0.000,0.000
0.0083333,11.300,70.538,6.585,3.452,0.297,40.789
0.0111111,11.300,127.229,10.435,12.030,0.000,0.000
0.0138889,11.300,229.580,15.545,10.921,0.653,37.325
0.0166667,10.200,400.530,21.922,32.714,1.946,79.949
0.0194444,10.200,671.845,29.784,34.385,0.000,0.000
0.0222222,0.000,966.902,34.012,68.394,7.572,200.312
0.0250000,0.000,1296.639,36.872,116.398,0.000,0.000
0.0277778,0.000,1614.718,38.434,115.746,8.948,207.974
0.0305556,0.000,1887.691,38.794,247.142,0.000,0.000
0.0333333,0.000,2101.249,38.190,208.815,9.214,213.764
0.0361111,0.000,2252.206,36.916,270.744,0.000,0.000
0.0388889,0.000,2345.141,35.235,334.169,8.765,218.347
0.0416667,0.000,2391.748,33.344,319.373,0.000,0.000
0.0444444,0.000,2405.598,31.375,378.998,8.018,222.001
0.0472222,0.000,2396.131,29.407,335.787,0.000,0.000
0.0500000,0.000,2367.283,27.488,414.809,7.198,224.947
0.0527778,0.000,2320.194,25.642,329.669,0.000,0.000
0.0555556,0.000,2256.331,23.887,384.398,6.396,227.254
0.0583333,0.000,2178.709,22.231,297.170,0.000,0.000
0.0611111,0.000,2091.400,20.678,382.833,5.650,228.902
0.0638889,0.000,1998.536,19.232,139.599,0.000,0.000
0.0666667,0.000,1903.597,17.890,373.225,4.976,229.889
0.0694444,0.000,1809.153,16.651,89.943,0.000,0.000
0.0722222,0.000,1716.904,15.511,445.709,1.873,98.438
0.0750000,0.000,1627.878,14.464,75.433,0.000,0.000
0.0777778,0.000,1542.632,13.503,395.804,1.628,96.967
0.0805556,0.000,1461.430,12.624,64.376,0.000,0.000
0.0833333,0.000,1384.369,11.818,361.203,1.420,95.312
0.0861111,0.000,1311.452,11.080,56.110,0.000,0.000
0.0888889,0.000,1242.630,10.403,324.044,1.243,93.524
0.0916667,0.000,1177.818,9.783,49.047,0.000,0.000
0.0944444,0.000,1116.905,9.214,279.100,1.093,91.648
0.0972222,0.000,1059.752,8.690,43.525,0.000,0.000
0.1000000,0.000,1006.200,8.208,244.698,0.965,89.717
0.1027778,0.000,956.071,7.763,38.822,0.000,0.000
0.1055556,0.000,909.178,7.353,216.144,0.856,87.757
0.1083333,0.000,865.323,6.973,34.339,0.000,0.000
0.1111111,0.000,824.311,6.622,187.345,0.763,85.788
0.1138889,0.000,785.947,6.296,37.786,0.000,0.000
0.1166667,0.000,750.044,5.993,162.025,0.254,31.244
0.1194444,0.000,716.423,5.711,33.767,0.000,0.000
0.1222222,0.000,684.916,5.448,122.650,0.230,30.752
0.1250000,0.000,655.364,5.203,33.418,0.000,0.000
0.1277778,0.000,627.622,4.973,78.976,0.209,30.254
0.1305556,0.000,601.555,4.759,78.906,0.000,0.000
0.1333333,0.000,577.036,4.558,71.917,0.190,29.754
0.1361111,0.000,553.953,4.369,70.127,0.000,0.000
0.1388889,0.000,532.199,4.192,66.305,0.174,29.255
0.1416667,0.000,511.678,4.026,60.802,0.000,0.000
0.1444444,0.000,492.303,3.869,61.684,0.159,28.758
0.1472222,0.000,473.991,3.721,50.845,0.000,0.000
0.1500000,0.000,456.669,3.581,57.432,0.146,28.264
0.1527778,0.000,440.268,3.449,44.526,0.000,0.000
0.1555556,0.000,424.726,3.324,53.808,0.135,27.776
0.1583333,0.000,409.986,3.206,38.978,0.000,0.000
0.1611111,0.000,395.995,3.094,50.528,0.124,27.293
0.1638889,0.000,382.703,2.988,33.025,0.000,0.000
0.1666667,0.000,370.067,2.887,47.462,0.115,26.817
0.1694444,0.000,358.044,2.791,29.491,0.000,0.000
0.1722222,0.000,346.596,2.700,43.687,0.106,26.349
0.1750000,0.000,335.687,2.613,27.290,0.000,0.000
0.1777778,0.000,325.286,2.530,38.230,0.099,25.888
0.1805556,0.000,315.361,2.452,27.862,0.000,0.000
0.1833333,0.000,305.885,2.376,36.224,0.092,25.436
0.1861111,0.000,296.830,2.305,25.389,0.000,0.000
0.1888889,0.000,288.173,2.236,33.994,0.085,24.991
0.1916667,0.000,279.890,2.170,20.798,0.000,0.000
0.1944444,0.000,271.962,2.108,31.926,0.080,24.556
0.1972222,0.000,264.368,2.047,17.748,0.000,0.000
0.2000000,0.000,257.089,1.990,30.060,0.074,24.128
0.2027778,0.000,250.109,1.935,16.046,0.000,0.000
0.2055556,0.000,243.411,1.882,28.393,0.070,23.710
0.2083333,0.000,236.981,1.831,14.451,0.000,0.000
0.2111111,0.000,230.804,1.782,26.966,0.065,23.300
0.2138889,0.000,224.868,1.735,12.386,0.000,0.000
0.2166667,0.000,219.160,1.690,25.774,0.061,22.898
0.2194444,0.000,213.668,1.647,7.160,0.000,0.000
0.2222222,0.000,208.383,1.605,28.585,0.058,22.506
0.2250000,0.000,203.293,1.565,6.837,0.000,0.000
0.2277778,0.000,198.389,1.526,26.904,0.054,22.121
0.2305556,0.000,193.662,1.489,5.845,0.000,0.000
0.2333333,0.000,189.104,1.453,25.365,0.051,21.745
0.2361111,0.000,184.706,1.419,5.562,0.000,0.000
0.2388889,0.000,180.462,1.385,23.936,0.048,21.377
0.2416667,0.000,176.364,1.353,5.285,0.000,0.000
0.2444444,0.000,172.405,1.322,22.604,0.045,21.017
0.2472222,0.000,168.580,1.292,5.023,0.000,0.000
0.2500000,0.000,164.882,1.263,20.804,0.043,20.664
0.2527778,0.000,161.306,1.234,4.777,0.000,0.000
0.2555556,0.000,157.846,1.207,19.660,0.040,20.320
0.2583333,0.000,154.497,1.181,4.424,0.000,0.000
0.2611111,0.000,151.255,1.155,18.581,0.038,19.983
0.2638889,0.000,148.115,1.131,4.208,0.000,0.000
0.2666667,0.000,145.073,1.107,17.626,0.036,19.654
0.2694444,0.000,142.125,1.084,4.003,0.000,0.000
0.2722222,0.000,139.267,1.061,16.793,0.034,19.331
0.2750000,0.000,136.495,1.039,3.793,0.000,0.000
0.2777778,0.000,133.806,1.018,16.031,0.000,0.000
0.2805556,0.000,131.196,0.998,3.666,0.000,0.000
0.2833333,0.000,128.663,0.978,15.376,0.000,0.000
0.2861111,0.000,126.203,0.959,3.546,0.000,0.000
0.2888889,0.000,123.814,0.940,14.754,0.000,0.000
0.2916667,0.000,121.493,0.922,3.431,0.000,0.000
0.2944444,0.000,119.237,0.904,14.166,0.000,0.000
0.2972222,0.000,117.045,0.887,3.322,0.000,0.000
0.3000000,0.000,114.912,0.870,13.611,0.000,0.000
0.3027778,0.000,112.838,0.854,3.218,0.000,0.000
0.3055556,0.000,110.820,0.838,13.061,0.000,0.000
0.3083333,0.000,108.857,0.823,3.119,0.000,0.000
0.3111111,0.000,106.946,0.808,12.506,0.000,0.000
