LISEM total flow and sed output file for point 95
Time,Pavg,Qall,Qrunoff,Qsall,Qsrunoff,Conc
days,mm/h,l/s,l/s,kg/s,kg/s,g/l
0.0000000,15.200,3.411,0.041,0.115,0.000,0.000
0.0027778,15.200,14.893,0.183,1.271,0.000,0.000
0.0055556,15.200,37.998,0.488,3.336,0.000,0.268
0.0083333,11.300,70.538,0.951,3.452,0.000,0.000
0.0111111,11.300,127.229,1.828,12.030,0.003,1.246
0.0138889,11.300,229.580,3.505,10.921,0.000,0.008
0.0166667,10.200,400.530,6.473,32.714,0.129,15.029
0.0194444,10.200,671.845,11.752,34.385,0.005,0.303
0.0222222,0.000,966.902,19.468,68.394,0.754,31.748
0.0250000,0.000,1296.639,33.084,116.398,0.167,4.321
0.0277778,0.000,1614.718,52.258,115.746,1.570,26.212
0.0305556,0.000,1887.691,71.235,247.142,2.820,34.267
0.0333333,0.000,2101.249,84.506,208.815,2.377,24.097
0.0361111,0.000,2252.206,90.805,270.744,2.099,19.643
0.0388889,0.000,2345.141,91.601,334.169,2.684,24.744
0.0416667,0.000,2391.748,88.885,319.373,0.000,0.002
0.0444444,0.000,2405.598,84.241,378.998,22.233,223.271
0.0472222,0.000,2396.131,78.721,335.787,0.000,0.001
0.0500000,0.000,2367.283,72.962,414.809,18.925,217.155
0.0527778,0.000,2320.194,67.327,329.669,0.000,0.001
0.0555556,0.000,2256.331,62.007,384.398,14.634,194.442
0.0583333,0.000,2178.709,57.087,297.170,0.000,0.000
0.0611111,0.000,2091.400,52.595,382.833,11.050,169.707
0.0638889,0.000,1998.536,48.524,139.599,0.000,0.000
0.0666667,0.000,1903.597,44.848,373.225,7.814,137.631
0.0694444,0.000,1809.153,41.536,89.943,0.000,0.000
0.0722222,0.000,1716.904,38.551,445.709,4.864,97.063
0.0750000,0.000,1627.878,35.861,75.433,0.000,0.000
0.0777778,0.000,1542.632,33.431,395.804,2.970,66.346
0.0805556,0.000,1461.430,31.234,64.376,0.000,0.000
0.0833333,0.000,1384.369,29.243,361.203,1.763,44.246
0.0861111,0.000,1311.452,27.434,56.110,0.000,0.000
0.0888889,0.000,1242.630,25.787,324.044,0.772,21.583
0.0916667,0.000,1177.818,24.284,49.047,0.000,0.000
0.0944444,0.000,1116.905,22.909,279.100,0.253,7.834
0.0972222,0.000,1059.752,21.649,43.525,0.000,0.000
0.1000000,0.000,1006.200,20.490,244.698,0.006,0.212
0.1027778,0.000,956.071,19.423,38.822,0.000,0.000
0.1055556,0.000,909.178,18.438,216.144,0.005,0.169
0.1083333,0.000,865.323,17.528,34.339,0.000,0.000
0.1111111,0.000,824.311,16.684,187.345,0.003,0.135
0.1138889,0.000,785.947,15.901,37.786,0.000,0.000
0.1166667,0.000,750.044,15.172,162.025,0.002,0.109
0.1194444,0.000,716.423,14.494,33.767,0.000,0.000
0.1222222,0.000,684.916,13.860,122.650,0.002,0.088
0.1250000,0.000,655.364,13.268,33.418,0.000,0.000
0.1277778,0.000,627.622,12.714,78.976,0.001,0.071
0.1305556,0.000,601.555,12.195,78.906,0.000,0.000
0.1333333,0.000,577.036,11.707,71.917,0.001,0.058
0.1361111,0.000,553.953,11.249,70.127,0.000,0.000
0.1388889,0.000,532.199,10.817,66.305,0.001,0.039
0.1416667,0.000,511.678,10.411,60.802,0.000,0.000
0.1444444,0.000,492.303,10.027,61.684,0.000,0.021
0.1472222,0.000,473.991,9.665,50.845,0.000,0.000
0.1500000,0.000,456.669,9.322,57.432,0.000,0.013
0.1527778,0.000,440.268,8.997,44.526,0.000,0.000
0.1555556,0.000,424.726,8.690,53.808,0.000,0.010
0.1583333,0.000,409.986,8.398,38.978,0.000,0.000
0.1611111,0.000,395.995,8.121,50.528,0.000,0.009
0.1638889,0.000,382.703,7.858,33.025,0.000,0.000
0.1666667,0.000,370.067,7.608,47.462,0.000,0.007
