LISEM total flow and sed output file for point 52
Time,Pavg,Qall,Qrunoff,Qsall,Qsrunoff,Conc
days,mm/h,l/s,l/s,kg/s,kg/s,g/l
0.0000000,15.200,3.411,0.254,0.115,0.001,5.586
0.0027778,15.200,14.893,1.308,1.271,0.000,0.004
0.0055556,15.200,37.998,3.585,3.336,0.155,41.924
0.0083333,11.300,70.538,6.649,3.452,0.003,0.456
0.0111111,11.300,127.229,11.007,12.030,2.048,163.690
0.0138889,11.300,229.580,16.878,10.921,0.035,1.838
0.0166667,10.200,400.530,23.867,32.714,4.417,165.851
0.0194444,10.200,671.845,32.104,34.385,0.000,0.000
0.0222222,0.000,966.902,36.643,68.394,7.243,177.126
0.0250000,0.000,1296.639,39.927,116.398,0.000,0.000
0.0277778,0.000,1614.718,42.041,115.746,9.347,198.543
0.0305556,0.000,1887.691,43.011,247.142,0.000,0.000
0.0333333,0.000,2101.249,42.952,208.815,10.957,226.592
0.0361111,0.000,2252.206,42.065,270.744,0.000,0.000
0.0388889,0.000,2345.141,40.582,334.169,9.727,211.249
0.0416667,0.000,2391.748,38.722,319.373,0.000,0.000
0.0444444,0.000,2405.598,36.663,378.998,7.849,186.948
0.0472222,0.000,2396.131,34.530,335.787,0.000,0.000
0.0500000,0.000,2367.283,32.404,414.809,7.000,186.696
0.0527778,0.000,2320.194,30.335,329.669,0.000,0.000
0.0555556,0.000,2256.331,28.352,384.398,6.195,186.750
0.0583333,0.000,2178.709,26.470,297.170,0.000,0.000
0.0611111,0.000,2091.400,24.698,382.833,5.454,186.493
0.0638889,0.000,1998.536,23.036,139.599,0.000,0.000
0.0666667,0.000,1903.597,21.487,373.225,4.792,185.969
0.0694444,0.000,1809.153,20.047,89.943,0.000,0.000
0.0722222,0.000,1716.904,18.714,445.709,4.015,176.604
0.0750000,0.000,1627.878,17.482,75.433,0.000,0.000
0.0777778,0.000,1542.632,16.346,395.804,3.552,176.583
0.0805556,0.000,1461.430,15.299,64.376,0.000,0.000
0.0833333,0.000,1384.369,14.337,361.203,3.152,176.332
0.0861111,0.000,1311.452,13.452,56.110,0.000,0.000
0.0888889,0.000,1242.630,12.637,324.044,2.808,175.885
0.0916667,0.000,1177.818,11.888,49.047,0.000,0.000
0.0944444,0.000,1116.905,11.199,279.100,2.511,175.273
0.0972222,0.000,1059.752,10.564,43.525,0.000,0.000
0.1000000,0.000,1006.200,9.978,244.698,2.256,174.525
0.1027778,0.000,956.071,9.438,38.822,0.000,0.000
0.1055556,0.000,909.178,8.938,216.144,2.035,173.667
0.1083333,0.000,865.323,8.476,34.339,0.000,0.000
0.1111111,0.000,824.311,8.047,187.345,1.844,172.719
0.1138889,0.000,785.947,7.649,37.786,0.000,0.000
0.1166667,0.000,750.044,7.279,162.025,1.664,170.353
0.1194444,0.000,716.423,6.935,33.767,0.000,0.000
0.1222222,0.000,684.916,6.615,122.650,1.520,169.448
0.1250000,0.000,655.364,6.316,33.418,0.000,0.000
0.1277778,0.000,627.622,6.036,78.976,1.386,167.437
0.1305556,0.000,601.555,5.774,78.906,0.000,0.000
0.1333333,0.000,577.036,5.529,71.917,1.275,166.458
0.1361111,0.000,553.953,5.299,70.127,0.000,0.000
0.1388889,0.000,532.199,5.083,66.305,1.176,165.432
0.1416667,0.000,511.678,4.880,60.802,0.000,0.000
0.1444444,0.000,492.303,4.689,61.684,1.089,164.370
0.1472222,0.000,473.991,4.509,50.845,0.000,0.000
0.1500000,0.000,456.669,4.338,57.432,1.010,163.279
0.1527778,0.000,440.268,4.178,44.526,0.000,0.000
0.1555556,0.000,424.726,4.026,53.808,0.226,39.070
0.1583333,0.000,409.986,3.882,38.978,0.000,0.000
0.1611111,0.000,395.995,3.746,50.528,0.207,38.120
0.1638889,0.000,382.703,3.617,33.025,0.000,0.000
0.1666667,0.000,370.067,3.494,47.462,0.190,37.198
0.1694444,0.000,358.044,3.377,29.491,0.000,0.000
0.1722222,0.000,346.596,3.267,43.687,0.175,36.305
0.1750000,0.000,335.687,3.161,27.290,0.000,0.000
0.1777778,0.000,325.286,3.061,38.230,0.161,35.439
0.1805556,0.000,315.361,2.965,27.862,0.000,0.000
0.1833333,0.000,305.885,2.874,36.224,0.149,34.600
0.1861111,0.000,296.830,2.787,25.389,0.000,0.000
0.1888889,0.000,288.173,2.703,33.994,0.138,33.787
0.1916667,0.000,279.890,2.624,20.798,0.000,0.000
0.1944444,0.000,271.962,2.548,31.926,0.128,32.999
0.1972222,0.000,264.368,2.475,17.748,0.000,0.000
0.2000000,0.000,257.089,2.405,30.060,0.119,32.236
0.2027778,0.000,250.109,2.338,16.046,0.000,0.000
0.2055556,0.000,243.411,2.274,28.393,0.070,19.941
0.2083333,0.000,236.981,2.213,14.451,0.000,0.000
0.2111111,0.000,230.804,2.154,26.966,0.065,19.569
0.2138889,0.000,224.868,2.097,12.386,0.000,0.000
0.2166667,0.000,219.160,2.042,25.774,0.061,19.207
0.2194444,0.000,213.668,1.990,7.160,0.000,0.000
0.2222222,0.000,208.383,1.939,28.585,0.057,18.853
0.2250000,0.000,203.293,1.891,6.837,0.000,0.000
0.2277778,0.000,198.389,1.844,26.904,0.054,18.509
0.2305556,0.000,193.662,1.799,5.845,0.000,0.000
0.2333333,0.000,189.104,1.756,25.365,0.051,18.173
0.2361111,0.000,184.706,1.714,5.562,0.000,0.000
0.2388889,0.000,180.462,1.673,23.936,0.048,17.846
0.2416667,0.000,176.364,1.634,5.285,0.000,0.000
0.2444444,0.000,172.405,1.597,22.604,0.045,17.527
0.2472222,0.000,168.580,1.560,5.023,0.000,0.000
0.2500000,0.000,164.882,1.525,20.804,0.043,17.216
0.2527778,0.000,161.306,1.491,4.777,0.000,0.000
0.2555556,0.000,157.846,1.458,19.660,0.040,16.913
0.2583333,0.000,154.497,1.427,4.424,0.000,0.000
0.2611111,0.000,151.255,1.396,18.581,0.038,16.617
0.2638889,0.000,148.115,1.366,4.208,0.000,0.000
0.2666667,0.000,145.073,1.337,17.626,0.036,16.329
0.2694444,0.000,142.125,1.309,4.003,0.000,0.000
0.2722222,0.000,139.267,1.282,16.793,0.034,16.047
0.2750000,0.000,136.495,1.256,3.793,0.000,0.000
0.2777778,0.000,133.806,1.230,16.031,0.032,15.731
0.2805556,0.000,131.196,1.206,3.666,0.000,0.000
0.2833333,0.000,128.663,1.182,15.376,0.031,15.467
0.2861111,0.000,126.203,1.158,3.546,0.000,0.000
0.2888889,0.000,123.814,1.136,14.754,0.029,15.208
0.2916667,0.000,121.493,1.114,3.431,0.000,0.000
0.2944444,0.000,119.237,1.092,14.166,0.028,14.955
0.2972222,0.000,117.045,1.072,3.322,0.000,0.000
0.3000000,0.000,114.912,1.052,13.611,0.026,14.708
0.3027778,0.000,112.838,1.032,3.218,0.000,0.000
0.3055556,0.000,110.820,1.013,13.061,0.025,14.467
0.3083333,0.000,108.857,0.994,3.119,0.000,0.000
0.3111111,0.000,106.946,0.976,12.506,0.024,14.232
0.3138889,0.000,105.085,0.959,3.024,0.000,0.000
0.3166667,0.000,103.273,0.942,11.514,0.023,14.001
0.3194444,0.000,101.507,0.925,2.933,0.000,0.000
0.3222222,0.000,99.787,0.909,11.017,0.022,13.776
0.3250000,0.000,98.111,0.893,2.847,0.000,0.000
0.3277778,0.000,96.477,0.878,10.563,0.021,13.556
0.3305556,0.000,94.884,0.863,2.485,0.000,0.000
0.3333333,0.000,93.331,0.848,9.483,0.020,13.341
0.3361111,0.000,91.815,0.834,2.319,0.000,0.000
